playerName,team,rating,region,playerCategory,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,agent_1,agent_2,agent_3
0,38,0.79,Americas,vct-challengers,166.5,0.83,47%,107.7,0.63,0.11,0.05,0.13,38%,33%,killjoy,,
3,21,0.64,EMEA,vct-game-changer,226.0,0.81,57%,136.9,0.81,0.10,0.19,0.29,44%,,clove,,
123,KBLD,01.08,Pacific,vct-challengers,237.6,01.07,67%,162.7,0.83,0.16,0.16,0.17,27%,26%,raze,jett,neon
152,C4C,0.95,Americas,vct-game-changer,194.8,0.76,59%,129.6,0.62,0.25,0.07,0.11,15%,6%,breach,kayo,raze
1001,ASAP,0.97,Pacific,vct-game-changer,215.0,0.95,71%,141.9,0.76,0.39,0.05,0.07,26%,12%,omen,brimstone,clove
69420,33,0.94,Americas,vct-challengers,174.5,0.71,64%,110.2,0.61,0.33,0.03,0.03,32%,,omen,,
5555555,LL,0.77,Pacific,vct-game-changer,146.0,0.76,62%,105.6,0.49,0.10,0.03,0.05,25%,75%,killjoy,,
0megara,34,0.40,Americas,vct-game-changer,115.5,0.46,65%,74.5,0.38,0.12,0.06,0.12,17%,,breach,sova,
0RE0,36,0.63,Pacific,vct-challengers,138.0,0.55,44%,102.5,0.47,0.06,0.03,0.08,19%,11%,sova,gekko,
0wenM,Subw,0.69,EMEA,vct-challengers,129.5,0.55,75%,83.5,0.44,0.47,0.03,0.03,26%,,skye,breach,
13lueee,71,0.99,Pacific,vct-challengers,182.0,0.94,72%,123.6,0.66,0.28,0.06,0.03,32%,21%,brimstone,omen,
16Ch0ps,MKG,1.22,Pacific,vct-challengers,267.0,1.25,70%,173.9,0.94,0.23,0.20,0.14,31%,25%,viper,raze,sage
1ce2k,325,0.94,EMEA,vct-challengers,185.3,0.98,64%,130.1,0.67,0.09,0.08,0.08,28%,4%,killjoy,sova,
1Frog1,The,0.97,Americas,vct-challengers,241.3,1.14,67%,160.3,0.87,0.12,0.21,0.17,39%,,jett,,
1hp,ALG.GC,,China,vct-game-changer,144.0,0.80,,,0.50,0.35,,,,,gekko,sova,
1mp2k,(+1),1.12,Pacific,vct-challengers,237.6,1.14,73%,157.1,0.86,0.17,0.10,0.04,31%,6%,killjoy,gekko,cypher
1stRealityTwice,GD,1.17,Pacific,vct-challengers,258.5,1.17,76%,159.2,0.92,0.26,0.08,0.08,40%,38%,killjoy,cypher,
1TaPGoD,ACE,0.56,Pacific,vct-challengers,157.3,0.54,55%,108.3,0.49,0.25,0.11,0.25,25%,33%,raze,gekko,
21May,71,1.12,Pacific,vct-challengers,204.3,01.02,66%,144.1,0.69,0.34,0.10,0.07,21%,,viper,kayo,
2ge,TS,1.10,Pacific,vct-international,198.3,01.08,74%,128.4,0.70,0.36,0.09,0.07,30%,23%,omen,viper,
3DWN,SaD,0.90,Americas,vct-game-changer,162.4,0.90,62%,116.6,0.60,0.12,0.04,0.07,35%,23%,cypher,killjoy,
5CM,XG,,China,vct-challengers,189.7,0.64,,126.4,0.59,0.26,0.18,0.16,,,neon,,
69Shinobu,GB,0.79,Pacific,vct-game-changer,160.0,0.64,66%,106.4,0.53,0.41,0.04,0.03,20%,10%,reyna,brimstone,clove
6ankai,MT,0.92,EMEA,vct-challengers,194.7,0.94,67%,130.9,0.72,0.10,0.20,0.16,28%,17%,jett,,
6dre,Yonk,0.72,Americas,vct-challengers,162.5,0.61,62%,117.3,0.56,0.23,0.03,0.05,27%,,sova,,
6ix,S4,0.58,EMEA,vct-challengers,128.0,0.48,51%,96.3,0.43,0.09,0.03,0.14,33%,,killjoy,sage,
6ixKey,43,0.73,Pacific,vct-challengers,170.5,0.77,56%,109.2,0.63,0.07,0.19,0.26,28%,67%,jett,raze,
6sonya,O1O,0.93,EMEA,vct-game-changer,176.8,0.89,69%,121.0,0.62,0.28,0.08,0.07,26%,8%,sova,fade,skye
7er,68,,China,vct-game-changer,164.7,0.78,,,0.62,0.16,,,,,omen,gekko,
999kvmil,FMG,0.97,EMEA,vct-challengers,190.5,0.92,70%,128.3,0.66,0.27,0.08,0.08,27%,12%,kayo,viper,breach
A1D,MU,0.85,Americas,vct-challengers,169.3,0.80,62%,119.1,0.60,0.22,0.10,0.11,30%,17%,killjoy,brimstone,cypher
A1MBOT,Avai,01.02,Americas,vct-challengers,214.0,1.00,67%,139.6,0.78,0.16,0.05,0.09,33%,9%,omen,astra,viper
A77,WVU,0.91,Americas,vct-challengers,177.2,0.83,65%,123.2,0.61,0.26,0.05,0.08,23%,10%,sova,viper,
AAAAY,FPX,0.86,China,vct-international,189.5,01.03,67%,126.8,0.70,0.25,0.06,0.05,31%,6%,gekko,sova,fade
AAK,TYL,,China,vct-international,212.4,01.05,,,0.77,0.19,,,,,jett,cypher,raze
Aamish,68,0.49,Pacific,vct-challengers,115.8,0.42,50%,83.1,0.37,0.21,0.07,0.18,25%,25%,raze,harbor,neon
ABATMAN,NCG,0.82,Pacific,vct-challengers,166.0,0.89,61%,119.3,0.61,0.14,0.07,0.04,34%,14%,cypher,,
abbie2k,LYFT,0.70,Americas,vct-game-changer,168.8,0.70,60%,113.6,0.61,0.15,0.10,0.14,29%,6%,jett,cypher,raze
Abde,Tedw,0.91,Americas,vct-challengers,177.0,0.81,63%,119.4,0.58,0.18,0.03,0.00,16%,,killjoy,,
Abdullah,24,0.52,Pacific,vct-challengers,113.0,0.56,67%,62.1,0.42,0.04,0.21,0.21,12%,,jett,,
Abo,TYL,,China,vct-international,211.0,0.99,,145.6,0.74,0.18,0.17,0.16,,,raze,jett,viper
AC,TEC,,China,vct-international,197.8,01.03,,128.1,0.71,0.35,0.04,0.08,,,viper,omen,killjoy
Acerola,LAZY,0.97,Pacific,vct-challengers,182.6,0.90,66%,122.3,0.65,0.26,0.06,0.08,31%,9%,viper,omen,kayo
AceStaRRRRR,(+1),0.83,Pacific,vct-challengers,173.6,0.78,63%,115.8,0.62,0.28,0.06,0.11,27%,10%,kayo,deadlock,omen
Acetics,SPE,0.88,Pacific,vct-challengers,180.4,0.83,69%,124.4,0.64,0.25,0.08,0.09,35%,12%,sova,deadlock,fade
acrian,VLYN,0.99,Americas,vct-challengers,198.8,01.01,71%,135.0,0.69,0.19,0.08,0.08,24%,18%,cypher,killjoy,viper
Add3r,DZ,0.93,Americas,vct-challengers,187.8,0.94,67%,125.7,0.67,0.24,0.08,0.11,31%,16%,cypher,skye,deadlock
Addi,RZN,01.01,EMEA,vct-game-changer,230.6,0.99,66%,148.8,0.81,0.20,0.16,0.17,24%,10%,raze,neon,yoru
Addicted,SAW,1.10,EMEA,vct-challengers,187.5,1.12,73%,127.4,0.68,0.28,0.07,0.06,33%,15%,sova,gekko,skye
Adept,PDF,0.70,Pacific,vct-challengers,145.3,0.65,62%,104.8,0.51,0.22,0.06,0.11,28%,25%,breach,sova,killjoy
aderrr,(+2),0.82,Pacific,vct-challengers,176.4,0.73,56%,111.7,0.61,0.19,0.08,0.06,29%,10%,sage,omen,cypher
adilzera,RTZN,0.61,EMEA,vct-challengers,139.4,0.58,64%,96.5,0.47,0.29,0.07,0.09,21%,13%,cypher,viper,killjoy
adm1k,INCO,0.77,EMEA,vct-challengers,172.4,0.70,70%,120.4,0.55,0.33,0.07,0.15,22%,6%,raze,viper,gekko
adora,HERO,0.96,EMEA,vct-game-changer,212.0,0.97,65%,142.7,0.74,0.17,0.16,0.18,29%,9%,reyna,raze,jett
AdrianL,ATN,0.83,EMEA,vct-challengers,175.4,0.83,66%,117.0,0.63,0.13,0.09,0.09,44%,9%,gekko,cypher,chamber
aDrijuxaZ,Jabb,0.58,EMEA,vct-challengers,123.0,0.50,63%,79.1,0.39,0.18,0.08,0.08,27%,17%,omen,,
adrnking,SZ,01.04,Pacific,vct-challengers,201.3,01.05,74%,135.1,0.73,0.26,0.09,0.08,32%,12%,skye,killjoy,cypher
aduka,NXGA,01.05,Pacific,vct-challengers,203.3,01.02,73%,133.6,0.71,0.29,0.10,0.10,26%,20%,yoru,fade,killjoy
Aebix,Waff,0.58,Americas,vct-game-changer,124.9,0.53,54%,85.2,0.45,0.25,0.05,0.13,19%,9%,cypher,omen,brimstone
Aeonyx,GLAB,0.80,Pacific,vct-challengers,173.5,0.76,64%,118.6,0.59,0.18,0.08,0.09,27%,11%,cypher,sage,killjoy
Aeric,AxS,01.02,Americas,vct-challengers,203.9,0.97,69%,140.8,0.70,0.38,0.07,0.09,31%,27%,skye,omen,sova
After,42,0.92,EMEA,vct-challengers,180.0,0.79,74%,128.8,0.62,0.24,0.00,0.10,28%,,viper,omen,
Agla,Team,0.86,EMEA,vct-game-changer,182.2,0.79,70%,119.4,0.61,0.22,0.11,0.08,21%,13%,gekko,harbor,sova
Agr0,BZK,01.08,Americas,vct-challengers,257.5,1.11,71%,164.1,0.90,0.20,0.22,0.15,32%,,raze,jett,
AhMei,LL,0.88,Pacific,vct-game-changer,202.7,0.83,70%,142.4,0.68,0.32,0.12,0.12,25%,20%,breach,skye,viper
aidan,INF,01.01,EMEA,vct-challengers,200.7,01.02,73%,127.8,0.73,0.25,0.13,0.18,24%,50%,jett,neon,
AiHuoahanana,40,0.68,Pacific,vct-challengers,164.5,0.50,60%,112.0,0.40,0.40,0.03,0.10,13%,11%,fade,sova,
Aiki,OPY.F,0.85,EMEA,vct-game-changer,161.4,0.78,61%,107.2,0.57,0.19,0.04,0.07,25%,18%,gekko,viper,killjoy
aiko,Huge,0.90,EMEA,vct-game-changer,212.0,0.88,75%,141.3,0.70,0.35,0.15,0.10,27%,,breach,,
aimDLL,GMX,01.01,EMEA,vct-challengers,205.7,01.02,71%,134.5,0.72,0.24,0.07,0.07,30%,15%,killjoy,cypher,viper
Aisling,THE.K,0.91,Pacific,vct-game-changer,175.4,0.88,72%,113.0,0.61,0.37,0.04,0.09,19%,24%,killjoy,sova,skye
AjMERiTO,Z10,01.01,EMEA,vct-challengers,202.7,0.94,67%,120.0,0.64,0.39,0.08,0.14,25%,9%,omen,astra,
Akame,35,0.87,Americas,vct-game-changer,197.0,0.70,54%,129.5,0.66,0.23,0.17,0.17,25%,,jett,raze,
Akane,33,0.91,Pacific,vct-challengers,238.0,0.90,67%,164.9,0.82,0.21,0.09,0.09,28%,,viper,,
Akashi,3T,0.68,Pacific,vct-challengers,147.1,0.63,59%,97.3,0.49,0.25,0.06,0.08,20%,12%,fade,sova,skye
Akemi,Leva,0.85,Pacific,vct-game-changer,152.4,0.73,70%,100.8,0.53,0.38,0.07,0.04,14%,,brimstone,omen,
aki,43,0.58,Americas,vct-game-changer,104.5,0.45,58%,66.0,0.35,0.28,0.02,0.12,24%,,breach,omen,
Akime,Mama,0.87,EMEA,vct-challengers,141.0,0.77,76%,92.8,0.49,0.32,0.05,0.07,35%,20%,omen,kayo,
Akira,MT,0.97,EMEA,vct-challengers,189.5,0.91,70%,128.8,0.67,0.26,0.06,0.06,27%,19%,sova,viper,killjoy
Akita,ZER.M,1.14,EMEA,vct-game-changer,267.9,1.17,71%,172.2,0.93,0.18,0.23,0.19,27%,27%,reyna,phoenix,jett
AKUMAAAAA,MDR,01.09,EMEA,vct-challengers,225.7,01.09,72%,149.3,0.80,0.33,0.12,0.11,37%,15%,phoenix,raze,kayo
al0rante,FKS,1.11,EMEA,vct-challengers,219.5,1.15,69%,145.4,0.78,0.21,0.08,0.07,41%,14%,viper,killjoy,cypher
al1en,CTLS,0.80,EMEA,vct-challengers,169.4,0.74,67%,111.3,0.58,0.30,0.08,0.09,26%,4%,omen,viper,brimstone
alannn,NOVO,0.98,EMEA,vct-challengers,197.4,1.00,71%,131.8,0.71,0.20,0.08,0.10,33%,17%,gekko,skye,phoenix
albus,RLF,0.77,Pacific,vct-challengers,163.6,0.74,66%,111.3,0.57,0.27,0.06,0.08,28%,11%,skye,sova,kayo
Ale,OF,01.09,EMEA,vct-challengers,227.0,1.12,73%,149.9,0.81,0.22,0.18,0.18,24%,16%,jett,raze,neon
AleDa,Tama,0.94,EMEA,vct-game-changer,182.7,0.87,69%,126.4,0.64,0.24,0.10,0.06,27%,,killjoy,cypher,viper
ALEKSANDAR,MU,01.07,Americas,vct-challengers,211.8,01.04,73%,133.6,0.75,0.32,0.10,0.08,41%,15%,gekko,kayo,skye
aLerT,XIA,0.98,Pacific,vct-challengers,199.6,0.97,70%,133.2,0.69,0.20,0.10,0.09,29%,19%,killjoy,raze,cypher
Alessia,MDK,01.05,EMEA,vct-game-changer,201.0,1.13,67%,133.5,0.75,0.14,0.11,0.13,36%,18%,jett,chamber,killjoy
Alexa,Voya,0.47,Americas,vct-game-changer,101.0,0.45,42%,65.5,0.39,0.06,0.03,0.06,7%,,sova,,
AlexaIsHot,INF,01.02,Americas,vct-game-changer,221.3,01.04,73%,141.9,0.78,0.40,0.04,0.10,26%,,viper,brimstone,
alexiiik,GN,01.06,EMEA,vct-challengers,234.8,1.17,69%,149.7,0.85,0.15,0.21,0.18,30%,14%,jett,raze,neon
alexis,SR,01.07,Americas,vct-game-changer,175.1,01.06,78%,111.1,0.63,0.53,0.06,0.05,31%,20%,skye,harbor,kayo
alexis,SR,0.82,Americas,vct-challengers,153.4,0.73,71%,93.8,0.53,0.54,0.05,0.08,25%,13%,fade,skye,kayo
Alexy,XIP,1.38,Pacific,vct-game-changer,256.8,1.73,83%,167.7,0.94,0.29,0.14,0.10,26%,11%,raze,jett,omen
Alfajer,FNC,1.10,EMEA,vct-international,218.3,1.17,73%,146.1,0.78,0.21,0.11,0.10,29%,12%,killjoy,cypher,viper
alfin,AVM,01.05,Pacific,vct-challengers,176.0,01.04,79%,113.5,0.71,0.47,0.05,0.08,18%,8%,omen,,
Alice,32,0.46,Pacific,vct-game-changer,120.0,0.43,41%,81.6,0.38,0.16,0.09,0.34,31%,,jett,gekko,
Alicita,Team,0.90,EMEA,vct-game-changer,184.0,0.83,61%,120.3,0.63,0.34,0.04,0.11,30%,17%,brimstone,viper,omen
alide,LXT,0.41,EMEA,vct-game-changer,106.5,0.37,58%,73.8,0.33,0.18,0.06,0.15,19%,,raze,sova,
ALIVE,ACE,01.07,EMEA,vct-challengers,219.5,01.09,69%,147.2,0.77,0.18,0.15,0.14,26%,10%,jett,raze,
alkyia,BBL.Q,0.99,EMEA,vct-game-changer,222.1,01.02,67%,149.4,0.76,0.23,0.16,0.15,29%,9%,sova,fade,raze
AlleN,58,1.36,Pacific,vct-challengers,245.3,1.49,83%,163.9,0.90,0.47,0.16,0.00,23%,25%,fade,sova,
ALLR1GHTT,220,0.66,Pacific,vct-challengers,148.8,0.62,62%,100.4,0.50,0.26,0.07,0.10,30%,6%,viper,harbor,kayo
Alluka,RRQ.K,1.00,Pacific,vct-game-changer,182.2,0.94,74%,116.0,0.64,0.50,0.06,0.05,23%,10%,sage,breach,brimstone
Allyora,(+1),0.49,Americas,vct-game-changer,144.8,0.46,55%,101.4,0.43,0.30,0.06,0.18,16%,,jett,raze,breach
ALMO,Z10,0.97,EMEA,vct-challengers,207.6,0.98,67%,143.5,0.73,0.19,0.15,0.13,27%,8%,viper,killjoy,cypher
AloNeFillz,NKT,1.11,Pacific,vct-challengers,199.2,1.13,74%,134.8,0.70,0.29,0.07,0.04,25%,14%,sova,viper,gekko
AloneVal,38,0.76,Pacific,vct-challengers,164.5,0.67,53%,110.7,0.58,0.16,0.08,0.11,25%,,cypher,,
Alora,(+3),0.72,EMEA,vct-game-changer,145.9,0.64,56%,96.8,0.50,0.23,0.07,0.09,28%,6%,breach,kayo,gekko
Altered,DXG,0.80,Americas,vct-challengers,170.3,0.74,56%,118.1,0.59,0.06,0.11,0.15,26%,13%,cypher,killjoy,
altG,21,0.68,Pacific,vct-challengers,175.0,0.61,57%,128.0,0.52,0.24,0.19,0.24,21%,,phoenix,,
aluba,WOL,,China,vct-international,195.6,0.97,,114.4,0.70,0.32,0.09,0.06,,,omen,killjoy,skye
alucaraa,Para,0.83,EMEA,vct-game-changer,187.0,0.87,65%,121.1,0.66,0.12,0.09,0.16,18%,17%,raze,sova,
aluvily,Sere,01.06,Americas,vct-game-changer,213.6,01.06,71%,144.1,0.78,0.21,0.10,0.09,32%,10%,brimstone,omen,gekko
alvinboy,curs,0.93,Americas,vct-challengers,217.1,0.95,66%,141.4,0.74,0.18,0.13,0.15,29%,10%,jett,raze,cypher
always,Bear,0.79,Americas,vct-game-changer,145.8,0.68,61%,97.1,0.51,0.28,0.05,0.08,32%,11%,omen,brimstone,viper
alyaL,FPT,1.22,Pacific,vct-challengers,241.7,1.25,73%,161.3,0.85,0.30,0.10,0.10,29%,24%,breach,cypher,killjoy
alyssa,FSS,,China,vct-game-changer,205.7,01.02,,,0.75,0.16,,,,,cypher,,
alyssayye,YDZ.GC,0.74,Americas,vct-game-changer,170.4,0.67,58%,124.4,0.58,0.17,0.05,0.10,26%,9%,killjoy,viper,cypher
Amarneth,NOVO.GC,0.32,EMEA,vct-game-changer,92.8,0.33,41%,66.9,0.30,0.27,0.05,0.27,28%,,sage,skye,breach
Ambi,VLNT,0.98,EMEA,vct-challengers,184.7,0.95,74%,121.4,0.65,0.37,0.08,0.08,28%,9%,kayo,breach,sage
AmerNone,TOD,1.25,Pacific,vct-challengers,253.7,1.28,71%,166.1,0.92,0.09,0.22,0.17,38%,14%,chamber,jett,
Ames,C4C,0.69,Americas,vct-game-changer,180.0,0.63,54%,116.3,0.58,0.27,0.09,0.19,27%,,gekko,breach,kayo
Amore,FH,01.03,EMEA,vct-challengers,223.5,1.18,70%,146.8,0.89,0.11,0.16,0.27,38%,,jett,neon,
amy,G2.G,01.07,EMEA,vct-game-changer,200.4,1.24,74%,135.4,0.75,0.23,0.08,0.06,33%,16%,cypher,killjoy,viper
Amy,PURR,0.86,Pacific,vct-game-changer,160.7,0.85,68%,99.8,0.57,0.25,0.02,0.08,23%,38%,viper,breach,gekko
amy,G2.G,01.04,EMEA,vct-challengers,199.3,01.08,69%,123.8,0.69,0.15,0.12,0.05,31%,,viper,killjoy,cypher
Anashi,BZE,0.66,Pacific,vct-challengers,144.0,0.55,60%,97.4,0.45,0.27,0.04,0.09,22%,7%,sage,sova,fade
Andrea,NCL.GC,0.76,Americas,vct-game-changer,138.0,0.56,63%,103.1,0.46,0.37,0.00,0.12,24%,,viper,omen,
AndreSG,FUZO,0.60,EMEA,vct-challengers,130.2,0.48,59%,90.9,0.41,0.34,0.08,0.11,21%,7%,omen,sova,kayo
andrew,RESO,01.03,Americas,vct-challengers,218.6,01.06,69%,144.2,0.79,0.15,0.12,0.15,27%,12%,raze,brimstone,jett
Android,40,1.20,Americas,vct-challengers,259.0,1.19,60%,173.5,0.95,0.18,0.15,0.05,25%,33%,viper,,
Andy,35,0.51,Pacific,vct-challengers,134.0,0.52,49%,98.7,0.43,0.14,0.00,0.20,23%,,killjoy,,
anesilia,GMX.L,1.12,EMEA,vct-game-changer,196.9,1.10,79%,128.7,0.68,0.54,0.08,0.06,21%,26%,skye,fade,sova
aneXcks,(+2),0.89,Americas,vct-game-changer,231.7,0.87,60%,150.1,0.77,0.17,0.22,0.23,28%,7%,jett,raze,neon
anezk,(+1),0.43,EMEA,vct-game-changer,119.0,0.42,63%,84.2,0.37,0.29,0.03,0.15,15%,9%,gekko,sova,omen
Ange,MU,01.03,Americas,vct-challengers,204.1,0.98,74%,131.2,0.70,0.32,0.10,0.09,25%,17%,viper,omen,astra
ANGE1,NAVI,0.81,EMEA,vct-international,172.0,0.80,66%,116.3,0.60,0.29,0.10,0.12,33%,7%,gekko,sova,omen
Angel,MVR,0.85,Americas,vct-game-changer,143.9,0.72,68%,97.0,0.50,0.35,0.02,0.04,26%,8%,gekko,skye,kayo
Angela,NF,0.99,Pacific,vct-game-changer,234.6,01.04,68%,154.0,0.78,0.23,0.19,0.23,17%,32%,raze,jett,
angelka,FOG,0.87,EMEA,vct-game-changer,190.4,0.84,77%,118.8,0.66,0.36,0.08,0.06,16%,21%,omen,jett,brimstone
angie,Gett,0.66,Americas,vct-game-changer,188.3,0.69,49%,120.3,0.64,0.10,0.16,0.24,22%,67%,jett,raze,
Angle,Catn,0.49,Americas,vct-game-changer,129.4,0.41,55%,90.8,0.37,0.23,0.06,0.09,16%,6%,sage,viper,breach
aNguiSt,CGN,1.10,EMEA,vct-challengers,209.3,1.17,71%,141.6,0.77,0.17,0.10,0.08,33%,14%,viper,cypher,killjoy
anie,31,0.49,Americas,vct-game-changer,102.0,0.36,39%,77.5,0.32,0.13,0.00,0.06,45%,7%,astra,sage,
Aniemal,Wild,0.84,Americas,vct-game-changer,178.1,0.81,66%,121.1,0.62,0.19,0.08,0.09,24%,21%,killjoy,viper,cypher
Aniemal,Wild,0.45,Americas,vct-challengers,131.5,0.49,54%,85.6,0.41,0.15,0.09,0.17,21%,,killjoy,cypher,
Anima,EF,1.11,EMEA,vct-challengers,199.8,01.06,77%,134.9,0.69,0.46,0.06,0.06,26%,13%,breach,skye,kayo
Anka,INC.GC,0.74,EMEA,vct-game-changer,165.0,0.70,63%,121.2,0.61,0.24,0.13,0.13,17%,,raze,,
Annie,O1O,01.01,EMEA,vct-game-changer,224.1,01.06,68%,146.5,0.80,0.14,0.22,0.20,33%,17%,raze,neon,jett
AnnieEgo,Loaf,0.73,Americas,vct-game-changer,146.8,0.55,58%,102.5,0.48,0.26,0.03,0.06,28%,8%,astra,omen,brimstone
aNNja,NSR.I,1.11,EMEA,vct-game-changer,229.7,1.11,65%,155.1,0.82,0.17,0.16,0.16,32%,30%,jett,raze,reyna
annyyuu,LL,01.08,Pacific,vct-game-changer,224.4,0.99,73%,143.5,0.79,0.47,0.07,0.09,26%,14%,brimstone,clove,omen
Anoxai,KBG,01.09,EMEA,vct-challengers,215.7,0.98,73%,137.8,0.73,0.42,0.15,0.11,23%,11%,raze,breach,jett
Anq,VX3,0.88,EMEA,vct-challengers,181.5,0.86,61%,122.2,0.63,0.11,0.13,0.18,31%,11%,raze,jett,
Anq,VX3,1.21,Pacific,vct-challengers,247.1,1.29,71%,157.8,0.87,0.13,0.17,0.15,28%,17%,jett,raze,yoru
Answerz,(+1),0.90,Pacific,vct-challengers,185.4,0.88,66%,123.7,0.64,0.20,0.11,0.09,24%,12%,killjoy,cypher,viper
Antidote,MOGO,0.92,Pacific,vct-challengers,167.1,0.91,69%,112.7,0.61,0.28,0.06,0.10,28%,21%,kayo,omen,skye
AntoL,Neon,0.76,Americas,vct-challengers,172.5,0.74,59%,116.6,0.62,0.14,0.03,0.14,29%,,viper,,
antonio,S4,0.78,EMEA,vct-challengers,158.4,0.75,68%,99.6,0.56,0.37,0.05,0.09,20%,11%,viper,kayo,omen
Anva,fuVi,1.10,EMEA,vct-game-changer,237.3,1.19,73%,153.5,0.83,0.20,0.14,0.11,23%,18%,viper,gekko,killjoy
ANXiOS,tras,0.75,EMEA,vct-challengers,150.2,0.65,68%,97.9,0.49,0.44,0.06,0.09,23%,8%,omen,kayo,skye
Aphun,SNS,0.96,EMEA,vct-challengers,190.2,0.97,73%,120.6,0.68,0.42,0.09,0.09,22%,8%,omen,harbor,cypher
aplycs,RGE,1.00,Pacific,vct-challengers,197.3,0.97,72%,134.4,0.69,0.29,0.07,0.07,30%,5%,sova,omen,viper
APO,SLY,0.88,EMEA,vct-challengers,172.4,0.83,70%,118.9,0.62,0.29,0.08,0.07,34%,13%,sova,skye,viper
Aponyo,37,0.59,Pacific,vct-game-changer,130.0,0.53,57%,91.1,0.46,0.32,0.05,0.05,21%,,brimstone,omen,
Apoth,EG,0.87,Americas,vct-international,179.3,0.85,62%,122.8,0.62,0.23,0.09,0.15,35%,18%,cypher,killjoy,harbor
appA,5HEA,01.08,EMEA,vct-challengers,231.7,01.07,67%,149.9,0.81,0.17,0.13,0.14,28%,17%,brimstone,omen,jett
appa,86th,0.85,Americas,vct-challengers,172.8,0.78,71%,118.7,0.59,0.28,0.10,0.08,36%,38%,viper,kayo,
apple,Arch,0.82,Americas,vct-game-changer,160.9,0.72,64%,110.7,0.55,0.25,0.07,0.06,33%,4%,omen,brimstone,killjoy
April,67,0.63,Americas,vct-game-changer,147.8,0.52,52%,108.0,0.48,0.19,0.04,0.07,29%,,sova,,
aproto,TSM,0.92,Americas,vct-challengers,169.8,0.94,70%,114.0,0.62,0.20,0.05,0.06,37%,15%,viper,killjoy,cypher
Apyr,VX3,0.72,EMEA,vct-challengers,169.5,0.71,61%,116.8,0.58,0.20,0.14,0.14,24%,11%,kayo,jett,harbor
Aqua,(+2),0.77,EMEA,vct-challengers,154.2,0.72,64%,99.6,0.55,0.32,0.04,0.11,32%,14%,breach,sova,harbor
Ara,SOA,0.71,EMEA,vct-game-changer,139.5,0.65,60%,96.4,0.48,0.12,0.07,0.07,22%,,viper,harbor,
arbie,NOM,0.60,EMEA,vct-challengers,147.0,0.58,59%,101.9,0.48,0.23,0.05,0.11,25%,,omen,viper,
arch,B8,0.71,EMEA,vct-challengers,147.6,0.66,61%,100.1,0.50,0.29,0.04,0.12,22%,16%,sova,skye,fade
Archfiend,114,01.05,EMEA,vct-challengers,214.2,1.13,70%,127.9,0.76,0.19,0.07,0.06,30%,9%,fade,skye,sova
ardiis,NAVI,01.05,EMEA,vct-international,212.0,01.04,72%,139.4,0.77,0.33,0.13,0.12,22%,21%,kayo,jett,yoru
ARGENT,TBG,0.93,EMEA,vct-challengers,231.0,0.86,68%,149.6,0.78,0.29,0.22,0.07,22%,,chamber,jett,
aria,TDY,0.83,Americas,vct-game-changer,175.2,0.75,67%,116.0,0.59,0.33,0.09,0.13,28%,6%,kayo,omen,sage
ARIANARCHIST,YFP,0.44,Americas,vct-game-changer,121.5,0.45,63%,83.3,0.44,0.19,0.03,0.16,23%,,skye,breach,
ArinJi,(+1),0.92,Pacific,vct-game-changer,208.8,0.89,69%,143.8,0.71,0.22,0.13,0.13,21%,24%,raze,gekko,omen
ariola,YDZ.GC,01.04,Americas,vct-game-changer,201.5,0.84,74%,135.1,0.69,0.46,0.07,0.05,40%,24%,skye,viper,gekko
ariso,TUS,0.88,Americas,vct-challengers,170.5,0.77,55%,138.4,0.63,0.11,0.05,0.08,31%,29%,killjoy,,
Arjunn,AST,0.90,Pacific,vct-challengers,190.5,0.84,78%,121.2,0.67,0.35,0.11,0.11,30%,17%,viper,omen,
ArKaDiX,34,0.66,EMEA,vct-challengers,135.5,0.52,71%,91.3,0.41,0.21,0.00,0.03,18%,,sova,fade,
Arkhram,MAD.SC,0.78,Americas,vct-challengers,155.2,0.73,61%,102.8,0.52,0.19,0.09,0.09,30%,10%,killjoy,cypher,viper
Arki,AVN.GC,0.84,Pacific,vct-game-changer,170.8,0.76,64%,114.3,0.60,0.34,0.05,0.10,19%,10%,breach,cypher,omen
ARPO,SRN,0.67,Pacific,vct-challengers,122.0,0.57,63%,81.9,0.41,0.35,0.04,0.07,36%,,omen,brimstone,
ArPoom,NKT,01.05,Pacific,vct-challengers,202.2,01.02,71%,134.7,0.71,0.36,0.09,0.07,33%,23%,viper,omen,brimstone
array,42C,0.91,Americas,vct-game-changer,208.7,0.88,63%,141.6,0.72,0.23,0.14,0.19,32%,6%,skye,kayo,breach
ars,31,0.23,EMEA,vct-challengers,73.5,0.20,42%,61.4,0.19,0.13,0.06,0.23,21%,,gekko,skye,
Arshiel,32,0.53,EMEA,vct-game-changer,174.5,0.57,66%,108.2,0.53,0.22,0.13,0.22,29%,,phoenix,jett,
artaa,101,01.07,Pacific,vct-challengers,236.2,01.01,62%,157.2,0.81,0.17,0.14,0.12,30%,9%,jett,raze,killjoy
aRThiT,89,0.77,Pacific,vct-challengers,151.8,0.62,57%,100.4,0.48,0.19,0.08,0.11,23%,8%,jett,omen,viper
